,project_owner,restriction,basic_price,bidding_month,mean_target_rate,std_target_rate,count_bidding,target_rate,winner_rate
9286,전라남도 함평군,함평,49524000,6,99.78045388888889,0.9384777827896981,18,100.99254,101.3281
9287,전라남도교육청 전라남도완도교육지원청,완도,57024000,6,99.56044,0.6924081620653667,20,99.71783,99.7385
9288,광주광역시 상수도사업본부,광주/전남,8690000,6,99.891201,1.119740127365375,10,99.10212,99.1024
9289,전라남도 순천시,순천,47377000,6,99.75942205128206,0.6850345404764328,117,98.74163,98.7738
9290,해군제3함대사령부,목포/영암,55740000,6,98.48657272727274,0.6950511346237872,11,98.09702,98.1422
9291,육군상무대근무지원단,전남,155524000,6,98.732061875,0.7787978173273156,32,98.5599,98.5613
9292,육군상무대근무지원단,전남,106622000,6,98.732061875,0.7787978173273156,32,98.23973000000001,98.2406
9293,전라남도교육청 전라남도완도교육지원청,완도,63294000,6,99.55844736842107,0.7113228433453509,19,99.5983,99.7462
9294,전라남도교육청 전라남도완도교육지원청,완도,42020000,6,99.50152166666666,0.6859677674836292,18,100.58310999999999,100.6632
9295,전라남도교육청 전라남도완도교육지원청,완도,71038000,6,99.53275529411765,0.6937608172320449,17,98.97055,99.0
9296,전라남도교육청 전라남도완도교육지원청,완도,55220000,6,99.544969375,0.7146228449792623,16,99.33733000000001,99.4015
9297,전라남도교육청 전라남도보성교육지원청,보성,14322000,6,99.82827333333333,0.527648492676526,15,99.47423,99.9165
9299,전라남도교육청 전라남도강진교육지원청,강진,28283000,6,100.1747,0.6943790672708969,26,99.39769,99.4779
9300,전라남도교육청 전라남도여수교육지원청,여수,37510000,6,99.95245529411766,0.7449764088515907,51,100.79491999999999,100.79899999999999
9301,한국전력공사 광주전남지역본부,무안,44741483,6,96.69289906862745,1.6313126150094541,612,96.95115,97.2613
9302,전라남도교육청 전라남도나주교육지원청,나주,17160000,6,99.53119652173913,0.6456346529339703,23,99.47363,99.56
9303,전라남도 장흥군,전국/전남,1095864000,6,99.81164722222223,0.8726254645527732,18,99.939,99.94
9304,전라남도 영암군,영암,43251000,6,100.03601681818182,0.6729525992108456,22,99.80861,99.8243
9305,전라남도교육청 전라남도담양교육지원청,담양,50908000,6,99.7110612,0.8719228662096968,25,100.83355999999999,100.8405
9306,전라남도교육청 전라남도강진교육지원청,강진,24871000,6,100.119278,0.6473509632855026,25,101.56025,108.4128
9307,전라남도교육청 전라남도담양교육지원청,담양,41767000,6,99.7110612,0.8719228662096968,25,99.62416,99.6382
9308,전라남도교육청 전라남도담양교육지원청,담양,12969000,6,99.7110612,0.8719228662096968,25,99.74554,99.9272
