,project_owner,restriction,basic_price,competitors,bidding_month,bidding_quarter,max_target_rate,min_target_rate,mean_target_rate,std_target_rate,count_bidding,target_rate,winner_rate
6958,광주광역시교육청,광주,6578000,296,12,4Q,101.60028,98.29765,99.84702867924527,0.8539078634161833,53,99.64121999999999,99.6436
6959,광주광역시교육청,광주,7623000,303,12,4Q,101.60028,98.29765,99.84702867924527,0.8539078634161833,53,101.1275,101.1439
6960,광주광역시교육청광주광역시동부교육지원청살레시오중학교,광주,71489000,407,12,4Q,0.0,0.0,0.0,0.0,0,99.5523,99.5653
6961,광주광역시교육청 광주광역시서부교육지원청,광주,33594000,402,12,4Q,102.0498,98.27328,99.75212135135135,0.7102273501103183,74,99.42564,99.4326
6962,광주광역시교육청 광주광역시서부교육지원청,광주,22396000,397,12,4Q,102.0498,98.27328,99.75212135135135,0.7102273501103183,74,99.82463,99.8318
6963,광주광역시교육청 광주광역시서부교육지원청,광주,56034000,412,12,4Q,102.0498,98.27328,99.75212135135135,0.7102273501103183,74,98.43884,98.4539
6964,광주광역시교육청 광주광역시서부교육지원청,광주,10593000,352,12,4Q,102.0498,98.27328,99.75212135135135,0.7102273501103183,74,100.05875999999999,100.0668
6965,광주광역시교육청 광주광역시서부교육지원청,광주,51615000,410,12,4Q,102.0498,98.27328,99.75212135135135,0.7102273501103183,74,99.15262,99.1647
6966,광주광역시교육청 광주광역시동부교육지원청,광주,75474000,414,12,4Q,101.72215,98.44306,99.92795222222223,0.7532442303499948,72,100.80633,100.8089
6967,광주광역시교육청 광주광역시동부교육지원청,광주,54813000,411,12,4Q,101.72215,98.44306,99.92795222222223,0.7532442303499948,72,99.20009,99.2059
6968,광주광역시교육청 조선대학교여자고등학교,광주,48312000,407,12,4Q,99.85065999999999,99.45983000000001,99.65524500000001,0.2763585432911241,2,99.6951,99.6966
6969,광주광역시교육청 광주광역시동부교육지원청,광주,33429000,398,12,4Q,101.72215,98.44306,99.92795222222223,0.7532442303499948,72,99.40762,99.428
6970,광주광역시교육청 광주광역시동부교육지원청,광주,55022000,416,12,4Q,101.72215,98.44306,99.92795222222223,0.7532442303499948,72,100.39879,100.4054
